order_id,customer_id,product,category,price,quantity,order_date,discount
1,657,Jeans,Fashion,845.64,1,2024-03-20,56.47
2,594,Laptop,Electronics,153.38,2,2024-02-21,9.13
3,496,Lipstick,Beauty,881.0,7,2024-01-20,19.91
4,232,Headphones,Electronics,679.86,8,2024-03-03,61.17
5,935,Phone,Electronics,180.56,8,2024-02-28,6.5
6,753,Mat,Sports,503.59,8,2024-03-30,78.65
7,929,Jacket,Fashion,35.45,9,2024-03-30,2.47
8,250,Headphones,Electronics,111.24,2,2024-03-04,15.04
9,420,Jeans,Fashion,964.51,4,2024-03-07,103.04
10,838,Rug,Home,461.12,2,2024-03-06,22.21
11,783,Shoes,Fashion,758.79,5,2024-02-03,33.77
12,469,Tablet,Electronics,613.54,1,2024-03-15,54.59
13,771,Lipstick,Beauty,217.77,6,2024-02-09,43.13
14,895,T-Shirt,Fashion,664.12,6,2024-01-15,113.85
15,485,T-Shirt,Fashion,907.39,9,2024-03-01,153.95
16,146,Phone,Electronics,640.61,5,2024-02-20,91.44
17,133,Ball,Sports,709.1,1,2024-03-24,127.1
18,962,Shoes,Fashion,662.58,8,2024-03-27,100.86
19,906,Cream,Beauty,689.42,4,2024-03-22,31.77
20,549,Phone,Electronics,671.7,2,2024-01-05,2.22
21,101,Jeans,Fashion,583.63,3,2024-03-12,2.63
22,340,Mat,Sports,573.71,2,2024-03-28,99.18
23,154,Ball,Sports,840.69,6,2024-01-31,99.95
24,333,Shoes,Fashion,49.35,5,2024-03-06,2.49
25,857,Headphones,Electronics,274.21,2,2024-01-04,41.86
26,273,Rug,Home,587.34,9,2024-02-02,9.34
27,324,Mat,Sports,328.35,9,2024-02-02,13.63
28,448,Jeans,Fashion,206.75,8,2024-01-01,26.66
29,665,Chair,Home,169.4,4,2024-01-05,10.86
30,574,Table,Home,315.89,4,2024-03-12,5.96
31,135,Phone,Electronics,48.84,8,2024-01-10,9.24
32,316,Lamp,Home,826.11,3,2024-02-11,161.3
33,145,T-Shirt,Fashion,992.85,5,2024-02-29,124.93
34,844,Lamp,Home,992.66,9,2024-03-25,6.88
35,529,Chair,Home,27.57,4,2024-02-26,0.26
36,650,Headphones,Electronics,113.25,8,2024-01-09,22.18
37,154,Perfume,Beauty,574.45,5,2024-02-02,33.33
38,230,Rug,Home,417.63,9,2024-01-08,5.83
39,387,Mat,Sports,198.19,6,2024-02-17,30.66
40,387,Soap,Beauty,36.1,4,2024-02-24,5.56
41,697,Weights,Sports,475.23,7,2024-01-21,94.08
42,998,Headphones,Electronics,324.92,7,2024-03-05,33.06
43,307,Rug,Home,705.57,7,2024-03-25,22.97
44,843,Chair,Home,637.16,9,2024-03-10,72.26
45,882,Phone,Electronics,513.69,6,2024-01-09,65.21
46,572,Table,Home,563.24,2,2024-01-01,1.64
47,177,Chair,Home,716.85,3,2024-01-10,54.76
